aX,aY,aZ,gX,gY,gZ
0.01,0.00,0.97,-0.43,2.08,0.79
0.01,0.00,0.97,-0.49,1.83,1.77
0.01,0.00,0.96,-0.31,1.89,0.67
0.01,0.00,0.97,-0.43,1.77,0.73
0.01,0.00,0.96,-0.49,1.89,0.61
0.01,0.00,0.97,-0.67,1.77,0.79
0.00,0.00,0.97,-0.49,1.95,0.73
-0.06,-0.00,0.97,-0.31,1.89,0.79
0.01,0.01,0.96,-0.49,1.83,0.92
0.01,0.00,0.97,-0.43,1.77,0.73
0.01,0.00,0.97,-0.55,1.89,0.85
0.01,0.00,0.97,-0.37,2.08,0.92
0.00,0.00,0.97,-0.49,2.01,0.67
0.01,0.00,0.96,-0.55,1.71,0.92
0.01,0.00,0.97,-0.43,2.01,0.67
-0.01,0.00,0.97,-0.61,1.65,0.85
0.08,0.02,0.96,-0.55,1.89,0.92
0.01,0.00,0.96,-0.61,1.71,0.67
0.01,0.00,0.97,-0.55,1.71,0.73
0.01,0.00,0.97,-0.55,1.77,0.73
0.01,0.00,0.97,-0.55,1.95,0.67
0.02,0.00,0.96,-0.43,1.65,0.73
0.01,0.00,0.97,-0.49,1.83,0.79
0.01,0.00,0.97,-0.55,1.83,0.98
-0.01,0.00,0.97,-0.43,1.89,0.85
-0.06,-0.01,0.98,-0.61,1.83,0.85
0.01,0.00,0.96,-0.49,2.14,0.73
0.01,0.00,0.97,-0.61,1.89,0.92
0.01,0.00,0.97,-0.37,1.83,0.67
0.01,0.00,0.97,-0.37,1.95,0.79
0.03,0.00,0.96,-0.31,1.83,0.85
0.01,0.00,0.97,-0.31,1.83,0.79
0.01,0.00,0.97,-0.61,1.89,0.85
-0.02,-0.00,0.97,-0.31,1.95,0.79
0.04,0.03,0.94,-0.49,2.01,0.85
0.01,0.00,0.97,-0.55,1.95,0.85
0.01,0.00,0.97,-0.43,1.95,0.85
0.01,0.00,0.97,-0.55,1.89,0.67
0.01,0.00,0.97,-0.55,1.95,0.85
0.03,0.00,0.96,-0.37,2.01,0.61
0.01,0.00,0.97,-0.49,1.95,0.67
0.01,0.00,0.97,-0.61,2.01,0.79
0.03,0.01,0.96,-0.43,2.20,0.98
0.09,0.02,0.96,-0.55,2.20,0.79
0.01,0.00,0.97,-0.49,2.01,0.79
0.01,0.00,0.97,-0.55,1.71,0.92
0.01,0.00,0.97,-0.24,1.89,0.85
0.01,0.00,0.97,-0.43,1.83,0.85
-0.02,-0.00,0.97,-0.61,1.89,0.73
0.01,0.00,0.97,-0.61,1.83,0.85
